event_id,entity_id,resource_id,action_type,timestamp,action_hour,action_day_of_week,session_id,session_duration_seconds,actions_per_minute,action_sequence_entropy,geo_ip_country,geo_ip_change_flag
evt_js006_0030,ent_js006,res_pay,read,2025-11-03T15:13:55,15,Monday,sess_js006_030,1019,0.31,0.78,US,false
evt_js006_0031,ent_js006,res_pay,write,2025-11-11T12:27:44,12,Tuesday,sess_js006_031,2053,0.37,0.58,US,false
evt_js006_0032,ent_js006,res_pay,write,2026-01-27T11:18:13,11,Tuesday,sess_js006_032,1491,0.36,0.69,US,false
evt_js006_0033,ent_js006,res_fin,write,2026-02-20T08:37:30,8,Friday,sess_js006_033,516,0.25,0.73,US,false
evt_js006_0034,ent_js006,res_fin,write,2026-01-19T09:38:04,9,Monday,sess_js006_034,1004,0.24,0.62,US,false
evt_js006_0035,ent_js006,res_pay,read,2025-10-10T17:02:39,17,Friday,sess_js006_035,1486,0.37,0.87,US,false
evt_js006_0036,ent_js006,res_fin,read,2026-01-14T13:15:16,13,Wednesday,sess_js006_036,748,0.29,0.9,US,false
evt_js006_0037,ent_js006,res_fin,read,2026-03-05T15:39:36,15,Thursday,sess_js006_037,1220,0.26,0.74,US,false
evt_js006_0038,ent_js006,res_pay,write,2025-12-08T09:56:15,9,Monday,sess_js006_038,984,0.45,0.82,US,false
evt_js006_0039,ent_js006,res_pay,login,2025-10-02T16:00:42,16,Thursday,sess_js006_039,1207,0.4,0.6,US,false
evt_js006_0040,ent_js006,res_fin,read,2026-02-06T09:47:35,9,Friday,sess_js006_040,1240,0.26,0.86,US,false
evt_js006_0041,ent_js006,res_pay,write,2025-09-12T12:32:31,12,Friday,sess_js006_041,1099,0.22,1.0,US,false
evt_js006_0042,ent_js006,res_pay,write,2025-12-26T08:00:21,8,Friday,sess_js006_042,1160,0.28,0.49,US,false
evt_js006_0043,ent_js006,res_hr,login,2025-10-17T14:35:00,14,Friday,sess_js006_043,1655,0.41,1.0,US,false
evt_js006_0044,ent_js006,res_pay,login,2026-02-26T13:37:35,13,Thursday,sess_js006_044,1197,0.29,0.82,US,false
evt_js006_0045,ent_js006,res_hr,write,2026-01-13T11:42:06,11,Tuesday,sess_js006_045,870,0.46,0.92,US,false
evt_js006_0046,ent_js006,res_fin,login,2026-01-27T11:55:10,11,Tuesday,sess_js006_046,1645,0.46,0.69,US,false
evt_js006_0047,ent_js006,res_fin,write,2025-12-12T14:51:42,14,Friday,sess_js006_047,1463,0.28,0.49,US,false
evt_js006_0048,ent_js006,res_fin,read,2025-11-28T08:54:30,8,Friday,sess_js006_048,1199,0.34,1.0,US,false
evt_js006_0049,ent_js006,res_pay,read,2026-01-09T08:42:12,8,Friday,sess_js006_049,909,0.22,0.83,US,false
evt_js006_wk00,ent_js006,res_fin,read,2025-11-08T13:25:43,13,Saturday,sess_js006_wk0,275,0.31,0.81,US,false
evt_js006_wk01,ent_js006,res_fin,read,2026-01-10T10:37:16,10,Saturday,sess_js006_wk1,69,0.22,0.71,US,false
evt_js006_wk02,ent_js006,res_fin,read,2026-01-10T11:46:50,11,Saturday,sess_js006_wk2,140,0.29,0.81,US,false
evt_js006_anom_01,ent_js006,res_admin,login,2026-03-01T02:17:03,2,Sunday,sess_js006_anom,47,1.28,0.12,US,false
evt_js006_anom_02,ent_js006,res_pay,read,2026-03-01T02:17:11,2,Sunday,sess_js006_anom,47,1.28,0.12,US,false
evt_js006_anom_03,ent_js006,res_pay,read,2026-03-01T02:17:18,2,Sunday,sess_js006_anom,47,1.28,0.12,US,false
evt_js006_anom_04,ent_js006,res_pay,export,2026-03-01T02:17:33,2,Sunday,sess_js006_anom,47,1.28,0.12,US,false
evt_js006_anom_05,ent_js006,res_admin,login,2026-03-01T02:17:50,2,Sunday,sess_js006_anom,47,1.28,0.12,US,false
evt_ent_rw003_0000,ent_rw003,res_pay,read,2025-10-10T11:16:02,11,Friday,sess_ent_rw003_000,2429,0.57,0.69,US,false
evt_ent_rw003_0001,ent_rw003,res_fin,write,2025-10-21T11:23:27,11,Tuesday,sess_ent_rw003_001,2852,0.33,0.84,US,false
evt_ent_rw003_0002,ent_rw003,res_pay,write,2025-12-19T16:19:42,16,Friday,sess_ent_rw003_002,1948,0.48,0.5,US,false
evt_ent_rw003_0003,ent_rw003,res_pay,read,2025-10-17T10:12:26,10,Friday,sess_ent_rw003_003,2821,0.43,0.46,US,false
evt_ent_rw003_0004,ent_rw003,res_pay,write,2025-12-19T12:13:27,12,Friday,sess_ent_rw003_004,2109,0.38,0.86,US,false
evt_ent_rw003_0005,ent_rw003,res_fin,read,2026-01-12T16:30:50,16,Monday,sess_ent_rw003_005,1462,0.41,0.61,US,false
evt_ent_rw003_0006,ent_rw003,res_fin,read,2026-01-06T12:14:51,12,Tuesday,sess_ent_rw003_006,400,0.22,0.6,US,false
evt_ent_rw003_0007,ent_rw003,res_fin,write,2025-11-06T17:54:49,17,Thursday,sess_ent_rw003_007,1997,0.55,0.49,US,false
evt_ent_rw003_0008,ent_rw003,res_fin,read,2025-11-28T15:25:15,15,Friday,sess_ent_rw003_008,3375,0.54,0.59,US,false
evt_ent_rw003_0009,ent_rw003,res_pay,read,2026-02-06T14:14:11,14,Friday,sess_ent_rw003_009,2583,0.3,0.8,US,false
evt_ent_rw003_0010,ent_rw003,res_pay,write,2025-11-07T16:35:38,16,Friday,sess_ent_rw003_010,2809,0.53,0.56,US,false
evt_ent_rw003_0011,ent_rw003,res_pay,read,2025-10-29T14:53:58,14,Wednesday,sess_ent_rw003_011,3346,0.54,0.46,US,false
evt_ent_rw003_0012,ent_rw003,res_pay,read,2025-09-25T12:49:49,12,Thursday,sess_ent_rw003_012,1424,0.38,0.78,US,false
evt_ent_rw003_0013,ent_rw003,res_pay,read,2025-12-24T11:17:21,11,Wednesday,sess_ent_rw003_013,866,0.26,0.64,US,false
evt_ent_rw003_0014,ent_rw003,res_pay,write,2026-01-12T09:26:26,9,Monday,sess_ent_rw003_014,2003,0.22,0.76,US,false
evt_ent_rw003_0015,ent_rw003,res_fin,write,2025-11-20T14:57:49,14,Thursday,sess_ent_rw003_015,2253,0.2,0.55,US,false
evt_ent_rw003_0016,ent_rw003,res_fin,write,2025-11-20T16:47:47,16,Thursday,sess_ent_rw003_016,1198,0.31,0.9,US,false
evt_ent_rw003_0017,ent_rw003,res_pay,read,2025-11-03T08:24:21,8,Monday,sess_ent_rw003_017,2214,0.57,0.88,US,false
evt_ent_rw003_0018,ent_rw003,res_fin,read,2025-11-27T17:36:42,17,Thursday,sess_ent_rw003_018,2932,0.37,0.68,US,false
evt_ent_rw003_0019,ent_rw003,res_pay,write,2025-11-07T10:03:16,10,Friday,sess_ent_rw003_019,1166,0.38,0.54,US,false
evt_ent_rw003_0020,ent_rw003,res_fin,write,2025-12-26T14:16:53,14,Friday,sess_ent_rw003_020,379,0.5,0.96,US,false
evt_ent_rw003_0021,ent_rw003,res_fin,read,2026-02-20T13:14:41,13,Friday,sess_ent_rw003_021,3389,0.21,0.7,US,false
evt_ent_rw003_0022,ent_rw003,res_pay,read,2025-09-29T10:15:08,10,Monday,sess_ent_rw003_022,2610,0.58,0.99,US,false
evt_ent_rw003_0023,ent_rw003,res_fin,read,2025-11-07T12:49:23,12,Friday,sess_ent_rw003_023,3485,0.53,0.77,US,false
evt_ent_rw003_0024,ent_rw003,res_pay,write,2026-02-27T12:36:43,12,Friday,sess_ent_rw003_024,3228,0.28,0.68,US,false
evt_ent_rw003_0025,ent_rw003,res_pay,read,2025-10-07T11:06:44,11,Tuesday,sess_ent_rw003_025,3561,0.59,0.73,US,false
evt_ent_rw003_0026,ent_rw003,res_pay,read,2025-11-18T13:04:32,13,Tuesday,sess_ent_rw003_026,2020,0.53,0.56,US,false
evt_ent_rw003_0027,ent_rw003,res_pay,read,2026-02-06T14:23:40,14,Friday,sess_ent_rw003_027,2083,0.27,0.48,US,false
evt_ent_rw003_0028,ent_rw003,res_pay,write,2025-10-01T16:49:30,16,Wednesday,sess_ent_rw003_028,3294,0.44,0.67,US,false
evt_ent_rw003_0029,ent_rw003,res_fin,write,2025-12-15T11:53:59,11,Monday,sess_ent_rw003_029,2146,0.3,0.5,US,false
evt_ent_kl004_0000,ent_kl004,res_pay,read,2025-11-28T13:01:31,13,Friday,sess_ent_kl004_000,2297,0.28,0.75,US,false
evt_ent_kl004_0001,ent_kl004,res_pay,read,2025-12-31T13:17:56,13,Wednesday,sess_ent_kl004_001,2416,0.58,0.91,US,false
evt_ent_kl004_0002,ent_kl004,res_pay,write,2025-10-31T16:48:15,16,Friday,sess_ent_kl004_002,2135,0.52,0.82,US,false
evt_ent_kl004_0003,ent_kl004,res_fin,write,2026-02-12T12:14:25,12,Thursday,sess_ent_kl004_003,3019,0.43,0.52,US,false
evt_ent_kl004_0004,ent_kl004,res_pay,write,2025-11-19T16:21:22,16,Wednesday,sess_ent_kl004_004,1555,0.3,0.73,US,false
evt_ent_kl004_0005,ent_kl004,res_fin,read,2026-02-05T11:20:07,11,Thursday,sess_ent_kl004_005,1186,0.5,0.67,US,false
evt_ent_kl004_0006,ent_kl004,res_fin,write,2025-10-24T17:18:06,17,Friday,sess_ent_kl004_006,1231,0.34,0.9,US,false
evt_ent_kl004_0007,ent_kl004,res_fin,write,2025-12-19T08:45:34,8,Friday,sess_ent_kl004_007,486,0.59,0.48,US,false
evt_ent_kl004_0008,ent_kl004,res_fin,write,2026-02-03T15:06:55,15,Tuesday,sess_ent_kl004_008,2222,0.39,0.62,US,false
evt_ent_kl004_0009,ent_kl004,res_pay,read,2025-12-10T10:03:16,10,Wednesday,sess_ent_kl004_009,567,0.36,0.89,US,false
evt_ent_kl004_0010,ent_kl004,res_pay,read,2026-02-20T10:09:51,10,Friday,sess_ent_kl004_010,1316,0.25,0.79,US,false
evt_ent_kl004_0011,ent_kl004,res_fin,write,2025-11-21T17:38:50,17,Friday,sess_ent_kl004_011,2145,0.56,0.64,US,false
evt_ent_kl004_0012,ent_kl004,res_fin,read,2025-11-18T12:36:39,12,Tuesday,sess_ent_kl004_012,3424,0.28,0.89,US,false
evt_ent_kl004_0013,ent_kl004,res_fin,read,2026-01-12T12:42:05,12,Monday,sess_ent_kl004_013,1011,0.42,0.79,US,false
evt_ent_kl004_0014,ent_kl004,res_fin,read,2025-09-12T17:30:18,17,Friday,sess_ent_kl004_014,1480,0.48,0.83,US,false
evt_ent_kl004_0015,ent_kl004,res_fin,write,2025-09-09T15:04:43,15,Tuesday,sess_ent_kl004_015,3526,0.52,0.47,US,false
evt_ent_kl004_0016,ent_kl004,res_fin,read,2026-01-16T14:07:34,14,Friday,sess_ent_kl004_016,1388,0.53,0.56,US,false
evt_ent_kl004_0017,ent_kl004,res_pay,write,2026-02-17T08:10:50,8,Tuesday,sess_ent_kl004_017,2098,0.25,0.61,US,false
evt_ent_kl004_0018,ent_kl004,res_pay,read,2025-12-26T16:34:31,16,Friday,sess_ent_kl004_018,2749,0.22,0.48,US,false
evt_ent_kl004_0019,ent_kl004,res_fin,read,2025-11-17T13:38:16,13,Monday,sess_ent_kl004_019,1237,0.58,0.8,US,false
evt_ent_kl004_0020,ent_kl004,res_fin,write,2026-03-02T12:36:02,12,Monday,sess_ent_kl004_020,2425,0.46,0.53,US,false
evt_ent_kl004_0021,ent_kl004,res_pay,read,2025-12-26T10:37:27,10,Friday,sess_ent_kl004_021,2225,0.34,0.59,US,false
evt_ent_kl004_0022,ent_kl004,res_pay,write,2026-01-23T13:26:44,13,Friday,sess_ent_kl004_022,3013,0.58,0.89,US,false
evt_ent_kl004_0023,ent_kl004,res_pay,write,2025-10-17T08:29:05,8,Friday,sess_ent_kl004_023,1624,0.25,0.74,US,false
evt_ent_kl004_0024,ent_kl004,res_fin,read,2026-03-06T16:29:26,16,Friday,sess_ent_kl004_024,2423,0.34,0.4,US,false
evt_ent_kl004_0025,ent_kl004,res_fin,write,2025-10-31T15:48:03,15,Friday,sess_ent_kl004_025,2549,0.25,0.63,US,false
evt_ent_kl004_0026,ent_kl004,res_fin,read,2025-11-03T09:01:40,9,Monday,sess_ent_kl004_026,1572,0.42,1.0,US,false
evt_ent_kl004_0027,ent_kl004,res_fin,write,2025-10-17T14:05:14,14,Friday,sess_ent_kl004_027,781,0.46,0.9,US,false
evt_ent_kl004_0028,ent_kl004,res_pay,write,2025-12-23T16:45:17,16,Tuesday,sess_ent_kl004_028,2234,0.3,0.99,US,false
evt_ent_kl004_0029,ent_kl004,res_fin,read,2025-10-17T10:24:12,10,Friday,sess_ent_kl004_029,1431,0.51,0.78,US,false
evt_ent_tm005_0000,ent_tm005,res_pay,write,2025-10-29T12:52:00,12,Wednesday,sess_ent_tm005_000,2704,0.43,0.59,US,false
evt_ent_tm005_0001,ent_tm005,res_pay,write,2025-09-19T15:55:09,15,Friday,sess_ent_tm005_001,1713,0.33,0.71,US,false
evt_ent_tm005_0002,ent_tm005,res_pay,read,2025-12-15T11:44:15,11,Monday,sess_ent_tm005_002,3476,0.36,0.55,US,false
evt_ent_tm005_0003,ent_tm005,res_pay,write,2025-12-16T15:45:58,15,Tuesday,sess_ent_tm005_003,3018,0.52,0.65,US,false
evt_ent_tm005_0004,ent_tm005,res_pay,read,2026-02-26T10:32:37,10,Thursday,sess_ent_tm005_004,2103,0.24,0.63,US,false
evt_ent_tm005_0005,ent_tm005,res_pay,read,2025-11-11T08:46:09,8,Tuesday,sess_ent_tm005_005,606,0.39,0.83,US,false
evt_ent_tm005_0006,ent_tm005,res_pay,write,2025-09-11T14:41:05,14,Thursday,sess_ent_tm005_006,1597,0.45,0.67,US,false
evt_ent_tm005_0007,ent_tm005,res_fin,read,2025-11-03T16:02:39,16,Monday,sess_ent_tm005_007,2885,0.47,0.67,US,false
evt_ent_tm005_0008,ent_tm005,res_fin,write,2026-02-12T14:06:48,14,Thursday,sess_ent_tm005_008,981,0.48,0.8,US,false
evt_ent_tm005_0009,ent_tm005,res_fin,write,2026-02-27T08:20:50,8,Friday,sess_ent_tm005_009,1768,0.35,0.81,US,false
evt_ent_tm005_0010,ent_tm005,res_fin,write,2025-10-14T10:10:11,10,Tuesday,sess_ent_tm005_010,2838,0.47,0.85,US,false
evt_ent_tm005_0011,ent_tm005,res_pay,write,2025-10-31T17:09:14,17,Friday,sess_ent_tm005_011,2182,0.3,0.97,US,false
evt_ent_tm005_0012,ent_tm005,res_pay,write,2025-12-24T16:10:04,16,Wednesday,sess_ent_tm005_012,2706,0.32,0.72,US,false
evt_ent_tm005_0013,ent_tm005,res_pay,read,2025-11-19T12:29:54,12,Wednesday,sess_ent_tm005_013,1875,0.54,0.82,US,false
evt_ent_tm005_0014,ent_tm005,res_pay,read,2025-12-05T17:18:44,17,Friday,sess_ent_tm005_014,2996,0.36,0.79,US,false
evt_ent_tm005_0015,ent_tm005,res_fin,write,2026-03-05T17:55:43,17,Thursday,sess_ent_tm005_015,1472,0.51,0.73,US,false
evt_ent_tm005_0016,ent_tm005,res_fin,read,2026-01-09T11:39:16,11,Friday,sess_ent_tm005_016,2870,0.46,0.97,US,false
evt_ent_tm005_0017,ent_tm005,res_pay,read,2025-12-18T15:02:37,15,Thursday,sess_ent_tm005_017,669,0.56,0.63,US,false
evt_ent_tm005_0018,ent_tm005,res_pay,write,2026-01-15T10:50:34,10,Thursday,sess_ent_tm005_018,973,0.3,0.84,US,false
evt_ent_tm005_0019,ent_tm005,res_pay,read,2025-11-04T12:47:55,12,Tuesday,sess_ent_tm005_019,2218,0.59,0.95,US,false
evt_ent_tm005_0020,ent_tm005,res_pay,read,2025-09-15T14:54:51,14,Monday,sess_ent_tm005_020,3538,0.36,1.0,US,false
evt_ent_tm005_0021,ent_tm005,res_pay,write,2025-12-30T16:07:29,16,Tuesday,sess_ent_tm005_021,2694,0.35,0.61,US,false
evt_ent_tm005_0022,ent_tm005,res_pay,read,2025-09-16T11:30:01,11,Tuesday,sess_ent_tm005_022,2952,0.23,0.59,US,false
evt_ent_tm005_0023,ent_tm005,res_fin,read,2025-11-07T12:41:26,12,Friday,sess_ent_tm005_023,485,0.58,0.64,US,false
evt_ent_tm005_0024,ent_tm005,res_fin,write,2026-02-11T11:56:34,11,Wednesday,sess_ent_tm005_024,2158,0.35,0.86,US,false
evt_ent_tm005_0025,ent_tm005,res_fin,write,2025-09-10T16:26:37,16,Wednesday,sess_ent_tm005_025,2982,0.24,0.55,US,false
evt_ent_tm005_0026,ent_tm005,res_fin,write,2025-12-26T08:44:23,8,Friday,sess_ent_tm005_026,2121,0.58,0.71,US,false
evt_ent_tm005_0027,ent_tm005,res_pay,read,2025-12-05T09:43:23,9,Friday,sess_ent_tm005_027,1930,0.31,1.06,US,false
evt_ent_tm005_0028,ent_tm005,res_fin,read,2025-11-11T09:42:13,9,Tuesday,sess_ent_tm005_028,3522,0.33,0.63,US,false
evt_ent_tm005_0029,ent_tm005,res_fin,read,2026-02-03T17:13:04,17,Tuesday,sess_ent_tm005_029,1254,0.33,0.89,US,false
evt_ar007_0000,ent_ar007,res_proddb,write,2026-02-24T14:54:09,14,Tuesday,sess_ar007_000,633,0.44,0.94,RO,true
evt_ar007_0001,ent_ar007,res_gh,login,2026-02-10T06:08:00,6,Tuesday,sess_ar007_001,1325,0.3,0.63,US,false
evt_ar007_0002,ent_ar007,res_fin,login,2025-11-22T19:33:07,19,Saturday,sess_ar007_002,1095,0.33,0.66,US,false
evt_ar007_0003,ent_ar007,res_gh,write,2026-01-09T22:37:06,22,Friday,sess_ar007_003,573,0.48,0.94,US,false
evt_ar007_0004,ent_ar007,res_fin,login,2025-12-02T22:19:29,22,Tuesday,sess_ar007_004,244,0.5,0.69,US,false
evt_ar007_0005,ent_ar007,res_proddb,read,2025-11-08T18:27:43,18,Saturday,sess_ar007_005,1578,0.47,0.67,US,false
evt_ar007_0006,ent_ar007,res_gh,write,2025-12-09T10:04:08,10,Tuesday,sess_ar007_006,1416,0.38,0.64,US,false
evt_ar007_0007,ent_ar007,res_fin,read,2025-11-25T16:24:38,16,Tuesday,sess_ar007_007,1049,0.35,0.28,US,false
evt_ar007_0008,ent_ar007,res_proddb,read,2026-02-10T12:27:28,12,Tuesday,sess_ar007_008,814,0.45,0.75,US,false
evt_ar007_0009,ent_ar007,res_gh,read,2026-01-04T19:46:06,19,Sunday,sess_ar007_009,760,0.4,0.52,US,false
evt_agt_fin01_0000,agt_copilot_fin_01,res_pay,read,2026-03-03T13:06:47,13,Tuesday,sess_agt_fin01_0000,9,11.2,0.15,US,false
evt_agt_fin01_0001,agt_copilot_fin_01,res_pay,write,2026-02-01T10:42:07,10,Sunday,sess_agt_fin01_0001,7,27.36,0.12,US,false
evt_agt_fin01_0002,agt_copilot_fin_01,res_pay,read,2026-01-06T09:38:19,9,Tuesday,sess_agt_fin01_0002,10,20.15,0.07,US,false
evt_agt_fin01_0003,agt_copilot_fin_01,res_pay,admin_op,2026-02-06T07:54:06,7,Friday,sess_agt_fin01_0003,6,12.3,0.08,US,false
evt_agt_fin01_0004,agt_copilot_fin_01,res_fin,admin_op,2026-02-22T13:54:35,13,Sunday,sess_agt_fin01_0004,5,10.58,0.08,US,false
evt_agt_fin01_0005,agt_copilot_fin_01,res_pay,read,2026-01-19T09:58:21,9,Monday,sess_agt_fin01_0005,3,27.4,0.11,US,false
evt_agt_fin01_0006,agt_copilot_fin_01,res_fin,read,2026-02-11T02:09:47,2,Wednesday,sess_agt_fin01_0006,9,14.3,0.09,US,false
evt_agt_fin01_0007,agt_copilot_fin_01,res_pay,admin_op,2026-02-15T05:23:19,5,Sunday,sess_agt_fin01_0007,10,11.7,0.06,US,false
evt_agt_fin01_0008,agt_copilot_fin_01,res_fin,write,2026-02-26T19:03:43,19,Thursday,sess_agt_fin01_0008,8,23.24,0.1,US,false
evt_agt_fin01_0009,agt_copilot_fin_01,res_fin,write,2026-02-08T13:17:13,13,Sunday,sess_agt_fin01_0009,7,12.22,0.12,US,false
evt_agt_fin01_0010,agt_copilot_fin_01,res_pay,read,2026-01-30T15:33:42,15,Friday,sess_agt_fin01_0010,4,17.91,0.11,US,false
evt_agt_fin01_0011,agt_copilot_fin_01,res_fin,write,2026-03-08T06:19:13,6,Sunday,sess_agt_fin01_0011,5,16.56,0.05,US,false
evt_agt_fin01_0012,agt_copilot_fin_01,res_pay,admin_op,2026-01-20T13:11:08,13,Tuesday,sess_agt_fin01_0012,4,20.01,0.13,US,false
evt_agt_fin01_0013,agt_copilot_fin_01,res_fin,write,2026-01-16T11:04:25,11,Friday,sess_agt_fin01_0013,1,19.2,0.06,US,false
evt_agt_fin01_0014,agt_copilot_fin_01,res_pay,admin_op,2026-02-16T18:27:36,18,Monday,sess_agt_fin01_0014,7,15.79,0.09,US,false
evt_agt_fin01_0015,agt_copilot_fin_01,res_pay,admin_op,2026-01-06T10:10:51,10,Tuesday,sess_agt_fin01_0015,6,11.76,0.13,US,false
evt_agt_fin01_0016,agt_copilot_fin_01,res_fin,write,2026-02-21T13:37:25,13,Saturday,sess_agt_fin01_0016,5,24.92,0.07,US,false
evt_agt_fin01_0017,agt_copilot_fin_01,res_fin,admin_op,2026-01-18T05:04:32,5,Sunday,sess_agt_fin01_0017,9,13.88,0.13,US,false
evt_agt_fin01_0018,agt_copilot_fin_01,res_fin,read,2026-02-14T23:52:41,23,Saturday,sess_agt_fin01_0018,2,12.93,0.07,US,false
evt_agt_fin01_0019,agt_copilot_fin_01,res_fin,read,2026-01-29T04:48:48,4,Thursday,sess_agt_fin01_0019,8,19.28,0.11,US,false
evt_agt_fin01_0020,agt_copilot_fin_01,res_pay,admin_op,2026-01-30T14:43:59,14,Friday,sess_agt_fin01_0020,6,13.02,0.06,US,false
evt_agt_fin01_0021,agt_copilot_fin_01,res_pay,admin_op,2026-02-08T20:19:50,20,Sunday,sess_agt_fin01_0021,1,17.04,0.06,US,false
evt_agt_fin01_0022,agt_copilot_fin_01,res_pay,write,2026-02-07T14:02:03,14,Saturday,sess_agt_fin01_0022,2,22.89,0.15,US,false
evt_agt_fin01_0023,agt_copilot_fin_01,res_pay,write,2026-03-03T19:38:32,19,Tuesday,sess_agt_fin01_0023,10,21.09,0.13,US,false
evt_agt_fin01_0024,agt_copilot_fin_01,res_fin,write,2026-01-10T01:28:58,1,Saturday,sess_agt_fin01_0024,10,19.51,0.07,US,false
evt_agt_fin01_0025,agt_copilot_fin_01,res_pay,admin_op,2026-03-05T14:06:51,14,Thursday,sess_agt_fin01_0025,2,20.09,0.07,US,false
evt_agt_fin01_0026,agt_copilot_fin_01,res_fin,write,2026-02-21T22:28:28,22,Saturday,sess_agt_fin01_0026,6,28.36,0.09,US,false
evt_agt_fin01_0027,agt_copilot_fin_01,res_fin,admin_op,2026-01-18T10:43:38,10,Sunday,sess_agt_fin01_0027,6,11.32,0.06,US,false
evt_agt_fin01_0028,agt_copilot_fin_01,res_fin,write,2026-01-24T12:18:16,12,Saturday,sess_agt_fin01_0028,2,21.65,0.06,US,false
evt_agt_fin01_0029,agt_copilot_fin_01,res_pay,read,2026-02-14T09:41:44,9,Saturday,sess_agt_fin01_0029,10,24.18,0.06,US,false
evt_agt_fin01_0030,agt_copilot_fin_01,res_pay,read,2026-02-01T12:41:50,12,Sunday,sess_agt_fin01_0030,9,11.87,0.12,US,false
evt_agt_fin01_0031,agt_copilot_fin_01,res_pay,read,2026-02-04T11:01:23,11,Wednesday,sess_agt_fin01_0031,4,16.83,0.13,US,false
evt_agt_fin01_0032,agt_copilot_fin_01,res_fin,write,2026-02-24T07:08:09,7,Tuesday,sess_agt_fin01_0032,2,20.15,0.1,US,false
evt_agt_fin01_0033,agt_copilot_fin_01,res_pay,admin_op,2026-01-20T16:02:42,16,Tuesday,sess_agt_fin01_0033,3,21.94,0.07,US,false
